,aeid,acid,assay_component_endpoint_name,export_ready,internal_ready,assay_component_endpoint_desc,assay_function_type,normalized_data_type,burst_assay,key_positive_control,signal_direction,intended_target_type,intended_target_type_sub,intended_target_family,intended_target_family_sub,fit_all,cell_viability_assay,data_usability,n_chemicals,n_chemicals_no_chid,aid,assay_component_name,assay_component_desc,assay_component_target_desc,parameter_readout_type,assay_design_type,assay_design_type_sub,biological_process_target,detection_technology_type,detection_technology_type_sub,detection_technology,key_assay_reagent_type,key_assay_reagent,technological_target_type,technological_target_type_sub,asid,assay_name,assay_desc,timepoint_hr,organism_id,organism,tissue,cell_format,cell_free_component_source,cell_short_name,cell_growth_mode,assay_footprint,assay_format_type,assay_format_type_sub,content_readout_type,dilution_solvent,dilution_solvent_percent_max
0,2,1,ACEA_ER_80hr,1,1,"Data from the assay component ACEA_ER_80hr was analyzed into 1 assay endpoint. 
This assay endpoint, ACEA_ER_80hr_Positive, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of growth reporter, measures of the cells for gain-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene ESR1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is steroidal.",signaling,percent_activity,0,17b-Estradiol,gain,pathway,pathway-specified,nuclear receptor,steroidal,0,0,1,3184,15499,1,ACEA_ER_80hr,"ACEA_ER_80hr is one of two assay component(s) measured or calculated from the ACEA_ER assay. It is designed to make measurements of real-time cell-growth kinetics, a form of growth reporter, as detected with electrical impedance signals by Real-Time Cell Electrode Sensor (RT-CES) technology.",Electrical impedance is used to quantify changes to the growth of the cells where increase impedance is positively correlated with increased cell growth,single,growth reporter,real-time cell-growth kinetics,cell proliferation,Label Free Technology,Electrical Sensor: Impedance,RT-CES,NA,NA,cellular,cellular,1,ACEA_ER,"ACEA_ER is a cell-based, single-readout assay that uses T47D, a human breast cell line, with measurements taken at 80 hours after chemical dosing in a 96-well or 384-well plate.",80.0,9606.0,human,breast,cell line,NA,T47D,adherent,microplate: 384-well plate,cell-based,cell-based format,single,DMSO,0.5
1,4,2,APR_HepG2_CellCycleArrest_1hr,1,1,"Data from the assay component APR_HepG2_CellCycleArrest_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_CellCycleArrest_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of all nuclear dna for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is arrest.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,cell cycle,arrest,0,0,1,310,0,2,APR_HepG2_CellCycleArrest_1hr,"APR_HepG2_CellCycleArrest_1hr is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of cell phenotype, a form of morphology reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.",Hoechst-33342 dye is used as a stain for DNA to understand morphology in the system.,single,morphology reporter,cell phenotype,cell cycle,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,stain,Hoechst-33342 dye,dna,dna-unspecified,2,APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,liver,cell line,NA,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5
2,6,3,APR_HepG2_CellLoss_1hr,1,1,"Data from the assay component APR_HepG2_CellLoss_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_CellLoss_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of all nuclear dna for gain or loss-of-signal activity can be used to understand the viability at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is proliferation.",viability,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,cellular,cellular,cell cycle,proliferation,0,0,1,310,0,2,APR_HepG2_CellLoss_1hr,"APR_HepG2_CellLoss_1hr is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of cell number, a form of viability reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.",Hoechst-33342 dye is used as a stain for DNA to understand viability in the system.,single,viability reporter,cell number,cell death,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,stain,Hoechst-33342 dye,dna,dna-unspecified,2,APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,liver,cell line,NA,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5
3,8,4,APR_HepG2_MicrotubuleCSK_1hr,1,1,"Data from the assay component APR_HepG2_MicrotubuleCSK_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_MicrotubuleCSK_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of conformation reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is cell conformation.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,cellular,cellular,cell morphology,cell conformation,0,0,1,310,0,2,APR_HepG2_MicrotubuleCSK_1hr,"APR_HepG2_MicrotubuleCSK_1hr is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of protein conformation, a form of conformation reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.","anti-a-tubulin antibody is used to tag and quantify the level of tubulin, alpha 1a protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:TUBA1A | GeneID:7846 | Uniprot_SwissProt_Accession:Q71U36].",single,conformation reporter,protein conformation,protein stabilization,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,antibody,anti-a-tubulin antibody,protein,protein-specified,2,APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,liver,cell line,NA,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5
4,10,5,APR_HepG2_MitoMass_1hr,1,1,"Data from the assay component APR_HepG2_MitoMass_1hr was analyzed into 1 assay endpoint. This assay endpoint, APR_HepG2_MitoMass_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, gain or loss-of-signal activity can be used to understand changes in the signaling. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is organelle conformation.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,cellular,mitochondria,cell morphology,organelle conformation,0,0,1,310,0,2,APR_HepG2_MitoMass_1hr,"APR_HepG2_MitoMass_1hr is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of cell phenotype, a form of morphology reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.",MitoTracker Red is used as a stain for the morphology of the mitochondria.,single,morphology reporter,cell phenotype,cell cycle,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,stain,MitoTracker Red,cellular,mitochondria,2,APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,liver,cell line,NA,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5
5,12,6,APR_HepG2_MitoMembPot_1hr,1,1,"Data from the assay component APR_HepG2_MitoMembPot_1hr was analyzed into 1 assay endpoint. This assay endpoint, APR_HepG2_MitoMembPot_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of membrane potential reporter, gain or loss-of-signal activity can be used to understand changes in the signaling. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is organelle conformation.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,cellular,mitochondria,cell morphology,organelle conformation,0,0,1,310,0,2,APR_HepG2_MitoMembPot_1hr,"APR_HepG2_MitoMembPot_1hr is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of dye binding, a form of membrane potential reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.",MitoTracker Red is used as a stain for the membrane potential of the mitochondria.,single,membrane potential reporter,dye binding,mitochondrial depolarization,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,stain,MitoTracker Red,cellular,mitochondria,2,APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,liver,cell line,NA,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5
6,14,7,APR_HepG2_MitoticArrest_1hr,1,1,"Data from the assay component APR_HepG2_MitoticArrest_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_MitoticArrest_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is arrest.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,pathway,pathway-specified,cell cycle,arrest,0,0,1,310,0,2,APR_HepG2_MitoticArrest_1hr,"APR_HepG2_MitoticArrest_1hr is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of cell phenotype, a form of morphology reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.","anti-phospho-histone-H3 antibody is used to tag and quantify the level of phosphorylated H3 histone, family 3A protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:H3F3A | GeneID:3020 | Uniprot_SwissProt_Accession:P84243].",single,morphology reporter,cell phenotype,cell cycle,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,antibody,anti-phospho-histone-H3 antibody,protein,protein-specified,2,APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,liver,cell line,NA,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5
7,16,8,APR_HepG2_NuclearSize_1hr,1,1,"Data from the assay component APR_HepG2_NuclearSize_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_NuclearSize_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of all nuclear dna for gain or loss-of-signal activity can be used to understand the signaling at the nuclear-level. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is organelle conformation.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,cellular,nucleus,cell morphology,organelle conformation,0,0,1,310,0,2,APR_HepG2_NuclearSize_1hr,"APR_HepG2_NuclearSize_1hr is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of cell phenotype, a form of morphology reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.",Hoechst-33342 dye is used as a stain for DNA to understand morphology in the system.,single,morphology reporter,cell phenotype,cell cycle,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,stain,Hoechst-33342 dye,dna,dna-unspecified,2,APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,liver,cell line,NA,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5
8,18,9,APR_HepG2_P-H2AX_1hr,1,1,"Data from the assay component APR_HepG2_P-H2AX_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_P-H2AX_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is cellular response to DNA damage stimulus.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,dna binding,cellular response to DNA damage stimulus,0,0,1,310,0,2,APR_HepG2_P-H2AX_1hr,"APR_HepG2_P-H2AX_1hr is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of dna content, a form of viability reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.","Anti-phospho-histone-H2AX antibody is used to tag and quantify the level of phosphorylated H2A histone family, member X protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:H2AFX | GeneID:3014 | Uniprot_SwissProt_Accession:P16104].",single,viability reporter,dna content,oxidative phosphorylation,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,antibody,anti-phospho-histone-H2AX antibody,protein,protein-specified,2,APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,liver,cell line,NA,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5
9,20,10,APR_HepG2_p53Act_1hr,1,1,"Data from the assay component APR_HepG2_p53Act_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_p53Act_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene TP53. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is tumor suppressor.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,dna binding,tumor suppressor,0,0,1,310,0,2,APR_HepG2_p53Act_1hr,"APR_HepG2_p53Act_1hr is one of 10 assay component(s) measured or calculated from the APR_HepG2_1hr assay. It is designed to make measurements of dna content, a form of viability reporter, as detected with fluorescence intensity signals by HCS Fluorescent Imaging technology.",anti-p53 antibody is used to tag and quantify the level of tumor protein p53 protein. Changes in the signals are indicative of protein expression changes as a cellular response to stress in the system [GeneSymbol:TP53 | GeneID:7157 | Uniprot_SwissProt_Accession:P04637].,single,viability reporter,dna content,cell death,Fluorescence,Fluorescence intensity,HCS Fluorescent Imaging,antibody,anti-p53 antibody,protein,protein-specified,2,APR_HepG2_1hr,"APR_HepG2_1hr is a cell-based, multiplexed-readout assay that uses HepG2, a human liver cell line, with measurements taken at 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,liver,cell line,NA,HepG2,adherent,microplate: 384-well plate,cell-based,cell-based format,multiplexed,DMSO,0.5
