,aeid,acid,assay_component_endpoint_name,export_ready,internal_ready,assay_component_endpoint_desc,assay_function_type,normalized_data_type,burst_assay,key_positive_control,signal_direction,intended_target_type,intended_target_type_sub,intended_target_family,intended_target_family_sub,fit_all,cell_viability_assay,data_usability,n_chemicals,n_chemicals_no_chid
0,2,1,ACEA_ER_80hr,1,1,"Data from the assay component ACEA_ER_80hr was analyzed into 1 assay endpoint. 
This assay endpoint, ACEA_ER_80hr_Positive, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of growth reporter, measures of the cells for gain-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene ESR1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is steroidal.",signaling,percent_activity,0,17b-Estradiol,gain,pathway,pathway-specified,nuclear receptor,steroidal,0,0,1,3184,15499
1,4,2,APR_HepG2_CellCycleArrest_1hr,1,1,"Data from the assay component APR_HepG2_CellCycleArrest_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_CellCycleArrest_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of all nuclear dna for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is arrest.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,cell cycle,arrest,0,0,1,310,0
2,6,3,APR_HepG2_CellLoss_1hr,1,1,"Data from the assay component APR_HepG2_CellLoss_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_CellLoss_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of all nuclear dna for gain or loss-of-signal activity can be used to understand the viability at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is proliferation.",viability,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,cellular,cellular,cell cycle,proliferation,0,0,1,310,0
3,8,4,APR_HepG2_MicrotubuleCSK_1hr,1,1,"Data from the assay component APR_HepG2_MicrotubuleCSK_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_MicrotubuleCSK_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of conformation reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is cell conformation.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,cellular,cellular,cell morphology,cell conformation,0,0,1,310,0
4,10,5,APR_HepG2_MitoMass_1hr,1,1,"Data from the assay component APR_HepG2_MitoMass_1hr was analyzed into 1 assay endpoint. This assay endpoint, APR_HepG2_MitoMass_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, gain or loss-of-signal activity can be used to understand changes in the signaling. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is organelle conformation.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,cellular,mitochondria,cell morphology,organelle conformation,0,0,1,310,0
5,12,6,APR_HepG2_MitoMembPot_1hr,1,1,"Data from the assay component APR_HepG2_MitoMembPot_1hr was analyzed into 1 assay endpoint. This assay endpoint, APR_HepG2_MitoMembPot_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of membrane potential reporter, gain or loss-of-signal activity can be used to understand changes in the signaling. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is organelle conformation.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,cellular,mitochondria,cell morphology,organelle conformation,0,0,1,310,0
6,14,7,APR_HepG2_MitoticArrest_1hr,1,1,"Data from the assay component APR_HepG2_MitoticArrest_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_MitoticArrest_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is arrest.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,pathway,pathway-specified,cell cycle,arrest,0,0,1,310,0
7,16,8,APR_HepG2_NuclearSize_1hr,1,1,"Data from the assay component APR_HepG2_NuclearSize_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_NuclearSize_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of all nuclear dna for gain or loss-of-signal activity can be used to understand the signaling at the nuclear-level. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is organelle conformation.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,cellular,nucleus,cell morphology,organelle conformation,0,0,1,310,0
8,18,9,APR_HepG2_P-H2AX_1hr,1,1,"Data from the assay component APR_HepG2_P-H2AX_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_P-H2AX_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is cellular response to DNA damage stimulus.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,dna binding,cellular response to DNA damage stimulus,0,0,1,310,0
9,20,10,APR_HepG2_p53Act_1hr,1,1,"Data from the assay component APR_HepG2_p53Act_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_p53Act_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene TP53. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is tumor suppressor.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,dna binding,tumor suppressor,0,0,1,310,0
10,22,11,APR_HepG2_StressKinase_1hr,1,1,"Data from the assay component APR_HepG2_StressKinase_1hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_StressKinase_1hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is stress response.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,cell cycle,stress response,0,0,1,310,0
11,24,12,APR_HepG2_CellCycleArrest_24hr,1,1,"Data from the assay component APR_HepG2_CellCycleArrest_24hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_CellCycleArrest_24hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of all nuclear dna for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is arrest.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,cell cycle,arrest,0,0,1,1067,40
12,26,13,APR_HepG2_CellLoss_24hr,1,1,"Data from the assay component APR_HepG2_CellLoss_24hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_CellLoss_24hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of all nuclear dna for gain or loss-of-signal activity can be used to understand the viability at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is proliferation.",viability,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,cellular,cellular,cell cycle,proliferation,0,0,1,1067,40
13,28,14,APR_HepG2_MicrotubuleCSK_24hr,1,1,"Data from the assay component APR_HepG2_MicrotubuleCSK_24hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_MicrotubuleCSK_24hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of conformation reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is cell conformation.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,cellular,cellular,cell morphology,cell conformation,0,0,1,1067,20
14,30,15,APR_HepG2_MitoMass_24hr,1,1,"Data from the assay component APR_HepG2_MitoMass_24hr was analyzed into 1 assay endpoint. This assay endpoint, APR_HepG2_MitoMass_24hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, gain or loss-of-signal activity can be used to understand changes in the signaling. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is organelle conformation.",signaling,log2_fold_induction,0,Paclitaxel;CCCP,bidirectional,cellular,mitochondria,cell morphology,organelle conformation,0,0,1,1067,20
15,32,16,APR_HepG2_MitoMembPot_24hr,1,1,"Data from the assay component APR_HepG2_MitoMembPot_24hr was analyzed into 1 assay endpoint. This assay endpoint, APR_HepG2_MitoMembPot_24hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of membrane potential reporter, gain or loss-of-signal activity can be used to understand changes in the signaling. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is organelle conformation.",signaling,log2_fold_induction,0,Paclitaxel;CCCP,bidirectional,cellular,mitochondria,cell morphology,organelle conformation,0,0,1,1067,20
